x(t-1), y(t-1), x(t), y(t), theta1(t-1), theta2(t-1), theta1(t), theta2(t), training
-2.413518,3.146798,-1.931113,3.346492,50,210,50,210,true
-1.931113,3.346492,-2.212793,3.167295,50,210,45,210,true
-2.212793,3.167295,-2.478767,2.963768,45,210,40,210,true
-2.478767,2.963768,-2.726722,2.73737,40,210,35,210,true
-2.726722,2.73737,-2.954502,2.489804,35,210,30,210,true
-2.954502,2.489804,-3.160133,2.223009,30,210,25,210,true
-3.160133,2.223009,-3.341856,1.939125,25,210,20,210,true
-3.341856,1.939125,-3.49815,1.640474,20,210,15,210,true
-3.49815,1.640474,-3.341862,1.939115,15,210,20,210,true
-3.341862,1.939115,-3.16014,2.222999,20,210,25,210,true
-3.16014,2.222999,-2.954368,2.489964,25,210,30,210,true
-2.954368,2.489964,-2.72611,2.737979,30,210,35,210,true
-2.72611,2.737979,-2.477107,2.965156,35,210,40,210,true
-2.477107,2.965156,-2.20925,3.169767,40,210,45,210,true
-2.20925,3.169767,-1.927343,3.348665,45,210,50,210,true
-1.927343,3.348665,-1.630084,3.503004,50,210,55,210,true
-1.630084,3.503004,-1.319777,3.631308,55,210,60,210,true
-1.319777,3.631308,-0.9988842,3.73235,60,210,65,210,true
-0.9988842,3.73235,-0.669997,3.805169,65,210,70,210,true
-0.669997,3.805169,-0.3358038,3.849083,70,210,75,210,true
-0.3358038,3.849083,4.768372E-07,3.863704,75,210,75,210,true
4.768372E-07,3.863704,0.4823628,3.663903,75,210,75,240,true
0.4823628,3.663903,0.8965763,3.346066,75,240,75,240,true
0.8965763,3.346066,0.6026722,3.411274,75,240,75,240,true
0.6026722,3.411274,0.303643,3.450769,75,240,70,240,true
0.303643,3.450769,0.001927734,3.464102,70,240,65,240,true
0.001927734,3.464102,-0.2999946,3.451088,65,240,60,240,true
-0.2999946,3.451088,-0.5996404,3.411808,60,240,55,240,true
-0.5996404,3.411808,-1.109306,3.525096,55,240,55,225,true
-1.109306,3.525096,-1.630927,3.502611,55,225,55,210,true
-1.630927,3.502611,-2.128954,3.345888,55,210,55,195,true
-2.128954,3.345888,-2.569449,3.065606,55,195,55,180,true
-2.569449,3.065606,-2.826864,2.82999,55,180,50,180,true
-2.826864,2.82999,-3.144931,2.415952,50,180,50,180,true
-3.144931,2.415952,-3.344998,1.933701,50,180,50,165,true
-3.344998,1.933701,-3.413433,1.416101,50,165,50,135,true
-3.413433,1.416101,-3.34557,0.8984249,50,135,50,135,true
-3.34557,0.8984249,-3.146036,0.4159527,50,135,50,120,true
-3.146036,0.4159527,-2.828428,0.001563787,50,120,50,105,true
-2.828428,0.001563787,-2.817937,-0.2433877,50,105,45,105,true
-2.817937,-0.2433877,-2.786165,-0.4871264,45,105,40,105,true
-2.786165,-0.4871264,-2.733229,-0.7276421,40,105,35,105,true
