timestamp,x,y,z,g,raw_x,raw_y,raw_z
1435295168482,-0.9375,1.125,0.9375,1.7388034679054445,-0.9375,-1.125,0.9375
1435295168680,-1.5,1.9375,-0.0625,2.4510839438909473,-1.5,-1.9375,-0.0625
1435295168880,0.125,-0.1875,-0.4375,0.4921254921257382,0.125,0.1875,-0.4375
1435295169078,-1.5625,1.3125,0.3125,2.064393070614218,-1.5625,-1.3125,0.3125
1435295169277,-1.375,-0.125,0.375,1.4306903927824497,-1.375,0.125,0.375
1435295169475,-0.375,2.3125,0.1875,2.350199459620396,-0.375,-2.3125,0.1875
1435295170270,0.25,1.3125,-0.125,1.341931909598993,0.25,-1.3125,-0.125
1435295170271,-0.4375,0.9375,-1,1.4388580541526672,-0.4375,-0.9375,-1
1435295170668,-3.4375,3.1875,0.375,4.702891397853027,-3.4375,-3.1875,0.375
1435295170867,0.8125,1.5625,0.4375,1.8146538926197469,0.8125,-1.5625,0.4375
1435295170869,0.5,1.8125,0.1875,1.8895270572288718,0.5,-1.8125,0.1875
1435295170870,0.25,1,3.125,3.2906116452720457,0.25,-1,3.125
1435295171066,-2.0625,3.4375,0.0625,4.009266609992406,-2.0625,-3.4375,0.0625
1435295171068,1.0625,2.375,0.375,2.6287176056016364,1.0625,-2.375,0.375
1435295171265,0.4375,1.625,0.25,1.701332198602025,0.4375,-1.625,0.25
1435295171464,-0.0625,0.875,-0.375,0.9540210951546092,-0.0625,-0.875,-0.375
1435295171662,-2.3125,0.9375,-0.5625,2.5579227412101404,-2.3125,-0.9375,-0.5625
1435295172059,-0.125,2.6875,0.5,2.7364724098737043,-0.125,-2.6875,0.5
1435295172061,1,2.1875,0.5625,2.470134105671188,1,-2.1875,0.5625
1435295172258,0.125,-0.0625,0.375,0.40019526483955303,0.125,0.0625,0.375
1435295172457,-3.1875,1.25,-0.25,3.4329515362148646,-3.1875,-1.25,-0.25
1435295172656,-1.0625,1.5,0.125,1.8424253716229595,-1.0625,-1.5,0.125
1435295172855,0.875,2.25,0.8125,2.547210484039354,0.875,-2.25,0.8125
1435295173053,-0.75,-2,-0.3125,2.158739504896318,-0.75,2,-0.3125
1435295173252,-1.875,1.75,-0.5625,2.6257439422000006,-1.875,-1.75,-0.5625
1435295173451,-0.9375,0.9375,0.5,1.4169730060943293,-0.9375,-0.9375,0.5
1435295173849,1.25,1.8125,0.125,2.205284845547169,1.25,-1.8125,0.125
1435295173850,0.125,-0.375,-0.125,0.414578098794425,0.125,0.375,-0.125
1435295174047,-1.1875,1,0.5,1.630998543837486,-1.1875,-1,0.5
1435295174444,-1.3125,0.125,0.6875,1.4869221566712898,-1.3125,-0.125,0.6875
1435295174446,-1.25,1.25,0.1875,1.7776828316659865,-1.25,-1.25,0.1875
1435295174643,0.75,1.125,-0.125,1.357847561400027,0.75,-1.125,-0.125
1435295174843,-0.3125,0.75,-1.9375,2.1009670392464512,-0.3125,-0.75,-1.9375
1435295175041,-1.375,2.625,0.6875,3.042023380909489,-1.375,-2.625,0.6875
1435295175240,1,1.5625,0.3125,1.8812396179115514,1,-1.5625,0.3125
1435295175439,0.6875,2,0.25,2.1295906296751026,0.6875,-2,0.25
1435295175637,0.3125,0.9375,5.375,5.465088059674794,0.3125,-0.9375,5.375
1435295175836,-4.0625,2.8125,0,4.941058844013093,-4.0625,-2.8125,0
1435295176035,0.5,2.6875,0.3125,2.7514200878818924,0.5,-2.6875,0.3125
1435295176234,0.875,1.875,-0.0625,2.0700618952098995,0.875,-1.875,-0.0625
1435295176631,0.4375,0.6875,0.1875,0.8361930100162283,0.4375,-0.6875,0.1875
1435295176633,-3.625,1,0,3.760402239122831,-3.625,-1,0
1435295176830,-0.9375,1.9375,0.5625,2.2246839663197107,-0.9375,-1.9375,0.5625
1435295177028,0.75,2.375,0.1875,2.4976551503360107,0.75,-2.375,0.1875
1435295177227,0.125,-1.75,-0.5625,1.8424253716229595,0.125,1.75,-0.5625
1435295177624,-2.875,2.125,-0.875,3.680607966083864,-2.875,-2.125,-0.875
1435295177626,-0.875,1.0625,1.125,1.7776828316659865,-0.875,-1.0625,1.125
1435295177824,-1.3125,1.5625,-0.125,2.0444284042245155,-1.3125,-1.5625,-0.125
1435295178221,0.25,-1,-0.5,1.14564392373896,0.25,1,-0.5
1435295178223,-1.3125,0.3125,-1.375,1.9263793759278052,-1.3125,-0.3125,-1.375
1435295178420,-0.75,1.25,0,1.4577379737113252,-0.75,-1.25,0
1435295179016,-0.3125,1.6875,0.4375,1.7710784144130942,-0.3125,-1.6875,0.4375
1435295179017,0.375,1.75,0.25,1.80710403685012,0.375,-1.75,0.25
1435295179019,0.125,0.75,0.75,1.0680004681646913,0.125,-0.75,0.75
1435295179214,1.875,1.8125,0.4375,2.6442744751632725,1.875,-1.8125,0.4375
1435295179414,1,2.3125,0.25,2.5318286375661367,1,-2.3125,0.25
1435295179612,0.0625,2.25,0.0625,2.2517354418314777,0.0625,-2.25,0.0625
1435295179811,0.8125,1.0625,0.1875,1.3506364240608943,0.8125,-1.0625,0.1875
1435295180009,-2.75,1.0625,-0.4375,2.980404754391591,-2.75,-1.0625,-0.4375
1435295180209,-0.4375,2.625,0.6875,2.748579178412003,-0.4375,-2.625,0.6875
1435295180407,0.625,2.625,0.1875,2.7048856260478003,0.625,-2.625,0.1875
1435295180804,0.4375,-1,-0.4375,1.1759304826391737,0.4375,1,-0.4375
1435295180805,-3.8125,2.0625,-0.625,4.379462010338713,-3.8125,-2.0625,-0.625
1435295181003,-1,1.1875,0.5,1.630998543837486,-1,-1.1875,0.5
1435295181202,-0.1875,1.5,0,1.511673327805978,-0.1875,-1.5,0
1435295181402,-0.1875,-0.3125,-0.1875,0.409839907768875,-0.1875,0.3125,-0.1875
1435295181600,-1.5,0.8125,-0.625,1.8168052317185792,-1.5,-0.8125,-0.625
1435295181799,-0.25,1.25,0.3125,1.3125,-0.25,-1.25,0.3125
1435295181998,0.375,1.5625,0.1875,1.617772388193098,0.375,-1.5625,0.1875
1435295182395,0.375,2.0625,0.1875,2.104682280060342,0.375,-2.0625,0.1875
1435295182396,0.125,0.8125,0.625,1.032669477616144,0.125,-0.8125,0.625
1435295182793,-8,1.5625,-0.625,8.175086008721866,-8,-1.5625,-0.625
1435295182794,-0.4375,2.375,0.4375,2.4542692395089825,-0.4375,-2.375,0.4375
1435295182991,0.5,2.25,0.375,2.3351927115336757,0.5,-2.25,0.375
1435295183190,0,-0.875,-0.375,0.9519716382329886,0,0.875,-0.375
1435295183389,-3.9375,1.875,0,4.361138756104878,-3.9375,-1.875,0
1435295183587,-0.8125,1.3125,0.5625,1.6429299285118644,-0.8125,-1.3125,0.5625
1435295183786,1.0625,1.6875,-0.375,2.0290853850934907,1.0625,-1.6875,-0.375
1435295183985,0.1875,-1.1875,-0.5,1.3020416659999787,0.1875,1.1875,-0.5
1435295184184,-0.4375,1.3125,-2.1875,2.588284905106082,-0.4375,-1.3125,-2.1875
1435295184383,-0.25,1.9375,0.25,1.9694939070735913,-0.25,-1.9375,0.25
1435295184581,-0.75,2,0.4375,2.180345442814051,-0.75,-2,0.4375
1435295184979,0.1875,1.8125,0.25,1.8392423711952701,0.1875,-1.8125,0.25
1435295184981,0.25,0.875,2.5625,2.7192887397258865,0.25,-0.875,2.5625
